iter	MAE
0	77118.86464
1	74894.47838
2	72997.97819
3	71302.72178
4	69503.20303
5	67767.44105
6	66208.28395
7	64716.35208
8	63310.93971
9	62130.15832
10	61101.8951
11	59991.37827
12	58937.87181
13	57930.64333
14	57135.23708
15	56333.7693
16	55542.84417
17	54745.95104
18	53943.31774
19	53262.541
20	52491.69203
21	51877.98297
22	51268.78125
23	50880.32314
24	50338.93398
25	49851.84746
26	49434.50072
27	49032.79411
28	48639.02255
29	48270.02481
30	47933.82493
31	47663.69187
32	47362.75752
33	47078.27422
34	46877.55353
35	46620.2811
36	46371.87436
37	46106.89187
38	45822.55945
39	45538.76332
40	45311.92897
41	45138.81751
42	44955.03016
43	44761.97061
44	44611.22518
45	44449.49165
46	44301.95606
47	44188.92488
48	44064.06228
49	43922.45516
50	43774.13131
51	43599.33759
52	43539.41019
53	43389.88257
54	43241.00352
55	43094.47073
56	42993.9148
57	42856.98077
58	42751.18204
59	42589.12673
60	42488.20414
61	42397.59994
62	42261.55813
63	42160.30405
64	42088.58496
65	41985.51328
66	41922.66729
67	41870.25392
68	41832.50736
69	41741.11051
70	41674.41605
71	41609.29789
72	41546.12791
73	41452.10446
74	41384.05936
75	41268.92436
76	41160.17776
77	41114.27125
78	41070.72114
79	40981.96473
80	40909.19931
81	40804.85734
82	40752.86769
83	40692.01596
84	40609.78994
85	40545.43338
86	40459.86032
87	40351.31357
88	40311.52899
89	40248.45761
90	40186.13859
91	40163.84436
92	40119.73563
93	40044.81262
94	39996.63942
95	39966.2506
96	39925.50446
97	39854.87415
98	39762.74085
99	39711.02709
100	39652.21745
101	39582.61639
102	39556.55508
103	39519.1497
104	39478.21858
105	39423.1494
106	39393.20812
107	39322.58848
108	39279.80031
109	39229.30526
110	39138.75457
111	39076.05548
112	38903.55072
113	38871.01756
114	38812.9205
115	38763.55644
116	38726.11124
117	38691.1033
118	38618.70934
119	38542.97421
120	38500.09963
121	38409.39991
122	38354.67137
123	38301.62312
124	38232.26837
125	38174.05384
126	38130.90408
127	38090.11914
128	38029.48831
129	37992.34871
130	37972.90505
131	37944.34143
132	37915.42088
133	37832.26348
134	37811.32875
135	37778.20901
136	37744.06963
137	37691.0275
138	37656.35625
139	37632.27727
140	37612.34569
141	37563.92862
142	37535.16692
143	37516.13581
144	37461.50715
145	37430.08954
146	37370.30832
147	37313.12471
148	37267.29027
149	37244.80301
150	37187.79069
151	37158.04893
152	37045.0271
153	36968.19102
154	36920.80237
155	36866.97129
156	36839.25013
157	36780.81307
158	36752.37089
159	36739.62699
160	36691.83842
161	36673.04829
162	36632.97774
163	36577.92003
164	36525.95237
165	36485.30333
166	36449.12412
167	36406.01718
168	36392.06776
169	36351.14468
170	36318.10364
171	36269.66735
172	36235.3093
173	36193.67565
174	36158.9714
175	36097.90989
176	36078.44015
177	36055.27089
178	36041.61089
179	36005.10926
180	35983.7912
181	35966.58504
182	35937.41541
183	35898.86391
184	35880.40815
185	35851.27213
186	35829.51612
187	35812.25416
188	35801.43001
189	35732.2228
190	35697.18867
191	35659.38825
192	35650.37025
193	35619.8566
194	35596.81864
195	35556.94993
196	35489.64671
197	35431.92387
198	35426.02546
199	35409.35415
200	35377.13702
201	35353.67581
202	35330.65234
203	35267.30266
204	35255.24386
205	35228.68192
206	35159.26549
207	35127.0961
208	35082.346
209	35050.89091
210	35040.76521
211	34999.97636
212	34955.6506
213	34942.01557
214	34929.23304
215	34877.70348
216	34838.10848
217	34817.62421
218	34790.2099
219	34783.10187
220	34756.93565
221	34710.15534
222	34691.48194
223	34678.79186
224	34650.26055
225	34613.41299
226	34607.46178
227	34594.79726
228	34558.93505
229	34534.59763
230	34506.80854
231	34434.91282
232	34416.95147
