iter	Passed	Remaining
0	3	1543
1	5	1421
2	9	1502
3	11	1434
4	14	1439
5	17	1456
6	20	1418
7	23	1472
8	26	1471
9	29	1468
10	32	1438
11	34	1414
12	37	1412
13	40	1406
14	43	1410
15	46	1396
16	48	1372
17	51	1375
18	53	1363
19	56	1349
20	58	1338
21	60	1325
22	63	1321
23	66	1316
24	68	1305
25	72	1322
26	75	1317
27	79	1347
28	82	1345
29	85	1332
30	87	1321
31	89	1315
32	92	1313
33	95	1303
34	97	1299
35	100	1294
36	102	1283
37	105	1280
38	107	1276
39	110	1268
40	112	1258
41	114	1250
42	118	1256
43	121	1254
44	123	1250
45	126	1247
46	129	1252
47	132	1250
48	135	1247
49	138	1243
50	140	1237
51	143	1232
52	144	1222
53	147	1220
54	150	1214
55	152	1209
56	155	1204
57	157	1200
58	159	1193
59	162	1191
60	166	1195
61	169	1194
62	172	1194
63	175	1192
64	177	1189
65	180	1188
66	182	1181
67	185	1176
68	187	1169
69	189	1165
70	192	1160
71	194	1155
72	196	1150
73	198	1144
74	200	1138
75	203	1137
76	206	1134
77	208	1130
78	211	1126
79	213	1121
80	215	1116
81	219	1118
82	223	1120
83	226	1119
84	228	1117
85	232	1119
86	234	1114
87	237	1110
88	239	1106
89	242	1103
90	244	1099
91	247	1097
92	249	1093
93	252	1088
94	254	1085
95	256	1080
96	259	1077
97	261	1073
98	264	1070
99	266	1066
100	269	1063
101	275	1076
102	278	1074
103	281	1073
104	285	1073
105	289	1075
106	292	1072
107	294	1069
108	297	1067
109	300	1065
110	304	1065
111	306	1062
112	309	1059
113	311	1055
114	314	1051
115	317	1049
116	319	1045
117	322	1043
118	326	1043
119	329	1041
120	333	1044
121	337	1044
122	340	1042
123	342	1039
124	346	1039
125	348	1035
126	351	1032
127	353	1028
128	356	1026
129	359	1022
130	361	1018
131	364	1014
132	366	1011
133	369	1009
134	373	1008
135	375	1004
136	377	1000
137	380	996
138	382	993
139	385	990
140	387	985
141	389	982
142	391	978
143	394	974
144	396	971
145	399	967
146	401	964
147	403	960
148	406	957
149	409	955
150	412	953
151	414	950
152	418	948
153	420	945
154	423	942
155	427	942
156	430	939
157	433	937
158	435	934
159	438	931
160	440	927
161	442	923
162	446	922
163	448	919
164	451	916
165	454	914
166	456	910
167	458	907
168	462	905
169	465	902
170	468	901
171	471	900
172	474	897
173	478	896
174	483	897
175	485	893
176	487	890
177	490	886
178	493	885
179	496	883
180	499	879
181	501	876
182	504	873
183	506	869
184	509	867
185	511	864
186	514	860
187	516	857
188	519	854
189	522	853
190	525	850
191	528	847
192	531	844
193	534	842
194	538	841
195	540	838
196	542	834
197	545	831
198	548	829
199	551	826
200	553	824
201	556	820
202	559	817
203	561	814
204	567	816
205	570	813
206	573	811
207	575	808
208	578	806
209	581	803
210	584	800
211	586	797
212	589	793
213	591	790
214	594	787
215	596	784
216	598	781
217	601	777
218	605	776
219	608	773
220	610	771
221	614	769
222	617	766
223	620	764
224	623	762
225	626	759
226	629	756
227	632	754
228	635	751
229	638	749
230	640	745
231	643	742
232	646	740
233	649	738
234	652	735
235	655	732
236	657	730
237	662	728
238	664	726
239	667	723
240	670	720
241	672	717
242	689	728
243	694	729
244	697	725
245	700	722
246	702	719
247	704	716
248	707	713
249	711	711
250	714	708
251	716	705
252	720	703
253	723	700
254	725	697
255	729	695
256	732	692
257	735	690
258	739	688
259	742	684
260	744	681
261	747	679
262	750	676
263	753	673
264	755	670
265	758	667
266	761	664
267	764	661
268	767	658
269	769	655
270	771	652
271	774	649
272	777	646
273	780	643
274	783	640
275	786	638
276	790	635
277	792	632
278	794	629
279	797	626
280	799	623
281	802	620
282	805	617
283	808	614
284	810	611
285	813	608
286	815	605
287	818	602
288	820	599
289	824	597
290	827	594
291	830	591
292	833	588
293	835	585
294	838	582
295	840	579
296	843	576
297	846	573
298	848	570
299	851	567
300	854	564
301	856	561
302	859	558
303	861	555
304	863	552
305	866	549
306	868	545
307	871	543
308	874	540
309	876	537
310	880	534
311	882	531
312	885	528
313	887	525
314	889	522
315	892	519
316	894	516
317	897	513
318	901	511
319	904	508
320	906	505
321	909	502
322	911	499
323	914	496
324	916	493
325	919	490
326	921	487
327	924	484
328	929	483
329	933	480
330	936	478
331	939	475
332	942	472
333	945	469
334	947	466
335	950	463
336	952	460
337	954	457
338	957	454
339	959	451
340	961	448
341	964	445
342	966	442
343	968	439
344	971	436
345	973	433
346	976	430
347	978	427
348	981	424
349	984	421
350	987	419
351	990	416
352	992	413
353	994	410
354	996	407
355	999	404
356	1001	401
357	1004	398
358	1006	395
359	1009	392
360	1011	389
361	1014	386
362	1016	383
363	1019	380
364	1021	377
365	1024	375
366	1028	372
367	1031	369
368	1033	367
369	1036	364
370	1040	361
371	1043	358
372	1045	355
373	1047	352
374	1049	349
375	1051	346
376	1054	343
377	1056	340
378	1058	337
379	1060	334
380	1063	332
381	1065	329
382	1069	326
383	1072	324
384	1076	321
385	1080	319
386	1084	316
387	1087	313
388	1089	310
389	1092	308
390	1094	305
391	1098	302
392	1100	299
393	1103	296
394	1106	294
395	1108	291
396	1111	288
397	1114	285
398	1116	282
399	1119	279
400	1121	276
401	1124	274
402	1127	271
403	1130	268
404	1133	265
405	1136	263
406	1140	260
407	1142	257
408	1145	254
409	1148	252
410	1150	249
411	1154	246
412	1157	243
413	1160	241
414	1162	238
415	1165	235
416	1168	232
417	1170	229
418	1173	226
419	1175	223
420	1178	221
421	1183	218
422	1185	215
423	1188	213
424	1192	210
425	1195	207
426	1198	204
427	1200	202
428	1203	199
429	1207	196
430	1209	193
431	1212	190
432	1215	188
433	1218	185
434	1223	182
435	1225	179
436	1229	177
437	1232	174
438	1235	171
439	1239	169
440	1241	166
441	1243	163
442	1246	160
443	1249	157
444	1251	154
445	1254	151
446	1256	148
447	1258	146
448	1261	143
449	1264	140
450	1267	137
451	1269	134
452	1272	131
453	1275	129
454	1278	126
455	1281	123
456	1284	120
457	1286	118
458	1289	115
459	1292	112
460	1295	109
461	1297	106
462	1299	103
463	1301	101
464	1304	98
465	1307	95
466	1310	92
467	1312	89
468	1314	86
469	1316	84
470	1319	81
471	1322	78
472	1325	75
473	1327	72
474	1330	70
475	1332	67
476	1336	64
477	1339	61
478	1341	58
479	1343	55
480	1345	53
481	1348	50
482	1350	47
483	1353	44
484	1355	41
485	1357	39
486	1359	36
487	1362	33
488	1365	30
489	1367	27
490	1369	25
491	1372	22
492	1374	19
493	1377	16
494	1380	13
495	1383	11
496	1385	8
497	1388	5
498	1392	2
499	1394	0
