iter	MAE
0	0.6868854476
1	0.657659893
2	0.6328942147
3	0.6092147271
4	0.5851118297
5	0.5634862717
6	0.5438919441
7	0.5250445802
8	0.5068074413
9	0.4912353685
10	0.4753846402
11	0.4607862544
12	0.4468713399
13	0.4354298423
14	0.4225057122
15	0.4095941818
16	0.3969074534
17	0.386488688
18	0.3758312086
19	0.3648173346
20	0.3560504591
21	0.3475375261
22	0.3397958409
23	0.3324745876
24	0.3243813883
25	0.3172083295
26	0.3111870868
27	0.3046906178
28	0.2984994487
29	0.2923379647
30	0.2885632502
31	0.2822171305
32	0.2760474753
33	0.2702570693
34	0.2660457709
35	0.2608676183
36	0.2559462814
37	0.2511490739
38	0.2474443422
39	0.2436479891
40	0.2396294113
41	0.2371579132
42	0.2340138166
43	0.2315121609
44	0.228337313
45	0.2259998504
46	0.2222817329
47	0.2193838286
48	0.2168283527
49	0.2143100923
50	0.2120672314
51	0.2100716895
52	0.2074567044
53	0.2048162682
54	0.2027454905
55	0.2001329719
56	0.1979573724
57	0.1960714556
58	0.194339923
59	0.1922536978
60	0.1905799631
61	0.1891248883
62	0.187354958
63	0.1858153181
64	0.184544568
65	0.1834723556
66	0.1821652677
67	0.1811708444
68	0.1798129001
69	0.1790072632
70	0.1780224674
71	0.1768576799
72	0.1756662705
73	0.1746168648
74	0.1733090481
75	0.1721100343
76	0.1709367863
77	0.1698946761
78	0.1685083361
79	0.1676860058
80	0.167073836
81	0.166368609
82	0.1656883659
83	0.1650236271
84	0.1642827298
85	0.1638134914
86	0.1627270606
87	0.1611507652
88	0.1601121803
89	0.1594534501
90	0.1590316379
91	0.1583044937
92	0.157607904
93	0.1570187159
94	0.156458781
95	0.1558805464
96	0.1548111164
97	0.1540062739
98	0.1529610203
99	0.1525422337
100	0.1519629444
101	0.151317305
102	0.1506443897
103	0.1501876015
104	0.1497084594
105	0.1493279269
106	0.1487620648
107	0.1483537868
108	0.1479706931
109	0.1474059984
110	0.1467616017
111	0.1461541214
112	0.1455386038
113	0.1447156435
114	0.1444867781
115	0.1442055927
116	0.143706623
117	0.1434434882
118	0.1426907582
119	0.1421471852
120	0.1417911729
121	0.1413877082
122	0.1409801474
123	0.1403906325
124	0.1399769045
125	0.1395418507
126	0.1391047486
127	0.1383556306
128	0.1379140115
129	0.1374099758
130	0.1368400088
131	0.1365038256
132	0.1363196534
133	0.1359041029
134	0.1352341085
135	0.1347854822
136	0.134467663
137	0.1342183152
138	0.1340094398
139	0.1336994244
140	0.1332848751
141	0.1329356969
142	0.1326299607
143	0.132369936
144	0.1320490343
145	0.1317855672
146	0.1310918382
147	0.1307879303
148	0.1303822854
149	0.1300078159
150	0.1296934178
151	0.1293862105
152	0.1290176851
153	0.1285750316
154	0.1281648787
155	0.1279697478
156	0.1275911321
157	0.1268611967
158	0.1265949034
159	0.1262928398
160	0.1258124538
161	0.1254311021
162	0.1250486823
163	0.1247061344
164	0.1244415556
165	0.1242141608
166	0.1237320116
167	0.1235095955
168	0.1233268783
169	0.1230860733
170	0.1228110152
171	0.1225445532
172	0.1222699817
173	0.122129422
174	0.121674615
175	0.1214311368
176	0.1210896456
177	0.1207448008
178	0.1205544513
179	0.1204805001
180	0.1202664372
181	0.1198296221
182	0.11953303
183	0.1193000408
184	0.1188141643
185	0.1183588101
186	0.118068119
187	0.1178153718
188	0.117614158
189	0.1172712636
190	0.1169322639
191	0.1165111445
192	0.1162374306
193	0.1160466635
194	0.1157288086
195	0.1155463174
196	0.1151584536
197	0.1147760903
198	0.1143157247
199	0.1141349808
200	0.1139841571
201	0.1137742801
202	0.1134210162
203	0.1130440965
204	0.1128482146
205	0.1125913694
206	0.112440993
207	0.112326609
208	0.112110679
209	0.1117772882
210	0.1116870996
211	0.1116036385
212	0.1114379809
213	0.1112803907
214	0.1111840079
215	0.1110600521
216	0.1106793678
217	0.1103427097
218	0.1101666149
219	0.1100344919
220	0.1097755724
221	0.1095271254
222	0.1094496823
223	0.1092142387
224	0.1088330815
225	0.1087249112
226	0.1086371932
227	0.1082396632
228	0.1080129579
229	0.1077723373
230	0.107715008
231	0.1076104555
232	0.1074586479
233	0.1071746228
234	0.106988595
235	0.1067290204
236	0.1065814896
237	0.1063493184
238	0.1061290077
239	0.1057755302
240	0.1057271449
241	0.1054699059
242	0.1053730117
243	0.1050972389
244	0.1049014633
245	0.1047160979
246	0.1045037708
247	0.1041923639
248	0.1040600611
249	0.1039150715
250	0.1038053841
251	0.1036878198
252	0.1035668608
253	0.1034596204
254	0.1033245822
255	0.103270232
256	0.1031504226
257	0.1030036663
258	0.1028812615
259	0.1026187563
260	0.1024903039
261	0.1023519756
262	0.1022577218
263	0.1018998741
264	0.1017304507
265	0.1015717958
266	0.1013656881
267	0.1011742829
268	0.1009186643
269	0.1006988396
270	0.1005658489
271	0.1004096369
272	0.1001242851
273	0.0997314723
274	0.09939029545
275	0.09926576335
276	0.0991380602
277	0.09905147731
278	0.09898429284
279	0.0988514379
280	0.09878689649
281	0.09870294745
282	0.09862127703
283	0.09853388681
284	0.09844106818
285	0.09833176423
286	0.09821288103
