iter	Passed	Remaining
0	3	1824
1	7	1909
2	12	2064
3	16	2012
4	19	1972
5	23	1950
6	27	1953
7	31	1957
8	35	1946
9	39	1929
10	43	1924
11	47	1916
12	51	1918
13	55	1911
14	58	1901
15	62	1891
16	66	1878
17	69	1864
18	73	1848
19	76	1837
20	80	1826
21	83	1813
22	86	1801
23	90	1790
24	93	1780
25	96	1768
26	100	1756
27	103	1748
28	107	1739
29	110	1729
30	113	1721
31	117	1713
32	120	1707
33	124	1700
34	127	1692
35	130	1685
36	134	1688
37	138	1683
38	141	1674
39	144	1667
40	148	1665
41	152	1658
42	155	1652
43	158	1646
44	162	1643
45	167	1651
46	170	1647
47	174	1640
48	177	1636
49	181	1636
50	185	1629
51	188	1622
52	192	1626
53	196	1621
54	201	1628
55	204	1622
56	208	1623
57	213	1624
58	216	1620
59	219	1612
60	224	1619
61	228	1614
62	232	1609
63	235	1604
64	239	1603
65	243	1602
66	246	1595
67	249	1588
68	254	1591
69	258	1587
70	262	1584
71	265	1578
72	269	1578
73	274	1579
74	277	1572
75	281	1568
76	284	1564
77	288	1561
78	292	1556
79	295	1551
80	300	1552
81	304	1550
82	307	1544
83	310	1538
84	314	1536
85	318	1532
86	322	1529
87	326	1526
88	330	1524
89	334	1525
90	338	1522
91	343	1525
92	347	1522
93	352	1521
94	357	1524
95	373	1571
96	378	1570
97	382	1567
98	387	1569
99	392	1568
100	395	1564
101	399	1559
102	405	1564
103	409	1557
104	412	1551
105	416	1546
106	419	1540
107	423	1536
108	426	1529
109	429	1522
110	434	1521
111	437	1516
112	441	1510
113	444	1506
114	448	1502
115	453	1499
116	456	1494
117	460	1489
118	463	1485
119	467	1479
120	471	1475
121	475	1473
122	479	1471
123	484	1469
124	487	1463
125	492	1461
126	496	1456
127	499	1452
128	504	1451
129	508	1447
130	513	1446
131	517	1441
132	522	1441
133	526	1438
134	530	1434
135	536	1435
136	541	1433
137	544	1429
138	548	1424
139	552	1421
140	556	1416
141	559	1411
142	564	1408
143	567	1403
144	571	1400
145	575	1394
146	579	1391
147	583	1388
148	587	1384
149	591	1380
150	595	1377
151	599	1373
152	603	1369
153	607	1365
154	611	1360
155	615	1357
156	618	1351
157	622	1348
158	626	1343
159	630	1339
160	633	1334
161	637	1329
162	641	1326
163	644	1321
164	647	1315
165	651	1311
166	655	1307
167	659	1302
168	662	1298
169	666	1294
170	670	1290
171	674	1285
172	677	1280
173	682	1278
174	686	1274
175	689	1269
176	692	1264
177	696	1260
178	700	1256
179	704	1252
180	707	1246
181	711	1243
182	715	1238
183	718	1233
184	721	1228
185	724	1223
186	728	1219
187	732	1215
188	735	1210
189	739	1206
190	744	1203
191	747	1199
192	751	1194
